Lon Lat Yield EC WHC
-111.785117 42.612555 109.88 22.75 NA
-111.784443 42.612555 85.8 21.58 5
-111.783769 42.612555 107.97 21.98 NA
-111.783095 42.612555 124 22.45 NA
-111.782421 42.612555 127.81 22.5 NA
-111.781748 42.612555 131.63 22.39 NA
-111.781074 42.612555 124.99 23.55 NA
-111.7804 42.612555 110.34 23.19 NA
-111.779726 42.612555 120.92 21.77 NA
-111.779052 42.612555 119.26 20.99 5.95
-111.78916 42.612859 96.84 18.58 NA
-111.788486 42.612859 94.63 17.68 NA
-111.787812 42.612859 124.98 21.05 NA
-111.787138 42.612859 100.77 19.64 NA
-111.786464 42.612859 91.91 18.69 NA
-111.785791 42.612859 112.7 22.9 NA
-111.785117 42.612859 109.54 26.46 NA
-111.784443 42.612859 97.17 21.31 NA
-111.783769 42.612859 115.1 22.13 NA
-111.783095 42.612859 107.8 19.04 NA
-111.782421 42.612859 111.64 23.3 NA
-111.781748 42.612859 118.04 25.67 NA
-111.781074 42.612859 125.99 24.22 NA
-111.7804 42.612859 107.11 22.06 7.04
-111.779726 42.612859 119.1 21.77 6.63
-111.779052 42.612859 116.33 22.18 NA
-111.78916 42.613164 94.57 15.58 2.7
-111.788486 42.613164 112.58 15.84 NA
-111.787812 42.613164 119.9 18.45 NA
-111.787138 42.613164 100.07 21.21 NA
-111.786464 42.613164 97.38 19.36 NA
-111.785791 42.613164 95.46 25.86 NA
-111.785117 42.613164 95.66 21.85 NA
-111.784443 42.613164 97.97 22.31 NA
-111.783769 42.613164 103.04 21.23 7.87
-111.783095 42.613164 120.65 21.44 NA
-111.782421 42.613164 133.05 27.63 NA
-111.781748 42.613164 130.32 26.54 NA
-111.781074 42.613164 117.67 25.47 NA
-111.7804 42.613164 116.13 23.27 7.26
-111.779726 42.613164 111.45 22.43 6.51
-111.779052 42.613164 110.44 22.78 NA
-111.78916 42.613468 104.68 18.16 NA
-111.788486 42.613468 129.84 16.74 NA
-111.787812 42.613468 110.88 19.58 5.83
-111.787138 42.613468 123.8 23.03 6.34
-111.786464 42.613468 111.01 24.56 NA
-111.785791 42.613468 81.52 26.09 NA
-111.785117 42.613468 85.56 24.98 NA
-111.784443 42.613468 99.49 25.01 NA
-111.783769 42.613468 95.47 20.86 NA
-111.783095 42.613468 116.5 23.62 NA
-111.782421 42.613468 129.46 26.21 NA
-111.781748 42.613468 134.16 24.52 8.32
-111.781074 42.613468 114.95 25.94 NA
-111.7804 42.613468 102.84 24.76 NA
-111.779726 42.613468 106.1 25.74 NA
-111.779052 42.613468 117.98 22.03 NA
-111.78916 42.613773 105.16 19.71 NA
-111.788486 42.613773 121.04 21.26 NA
-111.787812 42.613773 109.67 18.16 NA
-111.787138 42.613773 110.22 19.02 NA
-111.786464 42.613773 94.43 20.69 NA
-111.785791 42.613773 97.85 25.92 NA
-111.785117 42.613773 90.94 26.09 NA
-111.784443 42.613773 86.51 25.15 NA
-111.783769 42.613773 103.97 22.05 NA
-111.783095 42.613773 101.66 21.73 NA
-111.782421 42.613773 122.77 26.62 NA
-111.781748 42.613773 120.76 24.98 NA
-111.781074 42.613773 124.33 24.79 NA
-111.7804 42.613773 107.66 22.14 NA
-111.779726 42.613773 105.48 22.15 NA
-111.779052 42.613773 110.78 23.2 NA
-111.788486 42.614077 103.85 21.74 5.13
-111.787812 42.614077 103.12 19.84 NA
-111.787138 42.614077 109.43 21.31 NA
-111.786464 42.614077 84.81 25.97 NA
-111.785791 42.614077 93.36 26.94 NA
-111.785117 42.614077 92.95 27.11 NA
-111.784443 42.614077 91.34 23.63 NA
-111.783769 42.614077 106.68 21.11 7.06
-111.783095 42.614077 95.7 24.68 NA
-111.782421 42.614077 121.77 27.61 NA
-111.781748 42.614077 106.97 26.89 NA
-111.781074 42.614077 119.68 22.57 NA
-111.7804 42.614077 101.11 23.41 NA
-111.779726 42.614077 113.78 24.66 NA
-111.788486 42.614382 97.24 20.97 NA
-111.787812 42.614382 94.97 19.58 4.61
-111.787138 42.614382 86.69 23.15 NA
-111.786464 42.614382 98.89 28.19 NA
-111.785791 42.614382 77.73 29.63 NA
-111.785117 42.614382 77.2 25.42 NA
-111.784443 42.614382 81.2 26.63 NA
-111.783769 42.614382 96.96 27.6 6.49
-111.783095 42.614382 116.59 22.09 NA
-111.782421 42.614382 122.75 25.35 6.85
-111.781748 42.614382 114.28 25.24 7.75
-111.781074 42.614382 104.48 23.49 NA
-111.7804 42.614382 108.53 26.89 6.57
-111.779726 42.614382 106.14 24.08 NA
-111.788486 42.614686 95.42 22.43 NA
-111.787812 42.614686 91.68 23.06 NA
-111.787138 42.614686 88.1 23.08 NA
-111.786464 42.614686 90.36 25.23 NA
-111.785791 42.614686 69.98 26.78 NA
-111.785117 42.614686 80.56 28.57 NA
-111.784443 42.614686 99.72 26.66 NA
-111.783769 42.614686 97.77 22.24 NA
-111.783095 42.614686 105.25 22.54 NA
-111.782421 42.614686 108.84 27.88 NA
-111.781748 42.614686 109.03 27.5 NA
-111.781074 42.614686 112.42 26.17 NA
-111.7804 42.614686 105.33 24.99 7.62
-111.779726 42.614686 110.38 23.01 NA
-111.787812 42.614991 97.32 27.34 7.18
-111.787138 42.614991 92.7 25.32 NA
-111.786464 42.614991 71.88 26.09 NA
-111.785791 42.614991 73.65 26.29 NA
