Lon Lat Temp Surface
-95.34 29.54 33.07 cropland
-95.34 29.53 32.39 cropland
-95.34 29.52 31.33 cropland
-95.34 29.51 NA cropland
-95.34 29.5 NA cropland
-95.34 29.49 NA cropland
-95.34 29.48 31.95 cropland
-95.34 29.47 31.71 cropland
-95.35 29.75 37.63 urban
-95.35 29.74 36.69 urban
-95.35 29.73 36.35 urban
-95.35 29.72 35.35 urban
-95.35 29.71 35.71 urban
-95.35 29.7 35.79 urban
-95.35 29.69 35.59 urban
-95.35 29.68 35.21 urban
-95.35 29.67 34.83 urban
-95.35 29.66 34.39 urban
-95.35 29.65 34.63 urban
-95.35 29.64 35.15 urban
-95.35 29.63 35.65 urban
-95.35 29.62 33.85 cropland
-95.35 29.61 33.83 cropland
-95.35 29.6 33.95 cropland
-95.35 29.59 32.81 cropland
-95.35 29.58 33.77 cropland
-95.35 29.57 33.49 cropland
-95.35 29.56 34.11 urban
-95.35 29.55 35.35 urban
-95.35 29.54 34.43 cropland
-95.35 29.53 32.77 cropland
-95.35 29.52 31.43 forest
-95.35 29.51 31.45 cropland
-95.35 29.5 NA cropland
-95.35 29.49 NA cropland
-95.35 29.48 NA cropland
-95.35 29.47 31.63 cropland
-95.36 29.75 37.53 urban
-95.36 29.74 36.63 urban
-95.36 29.73 36.73 urban
-95.36 29.72 35.63 urban
-95.36 29.71 36.35 urban
-95.36 29.7 36.05 urban
-95.36 29.69 35.79 urban
-95.36 29.68 35.45 urban
-95.36 29.67 34.61 urban
-95.36 29.66 34.15 urban
-95.36 29.65 34.29 urban
-95.36 29.64 34.17 urban
-95.36 29.63 33.93 urban
-95.36 29.62 34.35 urban
-95.36 29.61 34.57 cropland
-95.36 29.6 34.51 urban
-95.36 29.59 33.75 cropland
-95.36 29.58 34.81 cropland
-95.36 29.57 34.83 cropland
-95.36 29.56 35.43 cropland
-95.36 29.55 35.79 cropland
-95.36 29.54 35.11 cropland
-95.36 29.53 33.87 cropland
-95.36 29.52 31.77 cropland
-95.36 29.51 32.07 cropland
-95.36 29.5 31.83 cropland
-95.36 29.49 32.07 cropland
-95.36 29.48 32.47 cropland
-95.36 29.47 31.77 cropland
-95.37 29.75 37.43 urban
-95.37 29.74 36.63 urban
-95.37 29.73 36.89 urban
-95.37 29.72 36.03 urban
-95.37 29.71 36.53 urban
-95.37 29.7 36.31 urban
-95.37 29.69 36.31 urban
-95.37 29.68 35.99 urban
-95.37 29.67 34.23 urban
-95.37 29.66 34.13 urban
-95.37 29.65 33.97 urban
-95.37 29.64 33.41 urban
-95.37 29.63 33.33 urban
-95.37 29.62 33.97 urban
-95.37 29.61 34.29 cropland
-95.37 29.6 34.05 cropland
-95.37 29.59 34.03 cropland
-95.37 29.58 34.87 cropland
-95.37 29.57 34.71 cropland
-95.37 29.56 35.79 urban
-95.37 29.55 35.71 urban
-95.37 29.54 35.01 cropland
-95.37 29.53 34.29 cropland
-95.37 29.52 32.45 cropland
-95.37 29.51 32.39 cropland
-95.37 29.5 32.05 cropland
-95.37 29.49 32.09 cropland
-95.37 29.48 32.27 cropland
-95.37 29.47 31.81 cropland
-95.38 29.75 37.13 urban
-95.38 29.74 36.95 urban
-95.38 29.73 36.27 urban
-95.38 29.72 34.93 urban
-95.38 29.71 36.57 urban
-95.38 29.7 36.65 urban
-95.38 29.69 36.91 urban
-95.38 29.68 36.89 urban
-95.38 29.67 33.77 savanna
-95.38 29.66 34.21 urban
-95.38 29.65 33.35 urban
-95.38 29.64 32.71 cropland
-95.38 29.63 33.31 cropland
-95.38 29.62 33.69 cropland
-95.38 29.61 34.07 cropland
-95.38 29.6 33.75 grassland
-95.38 29.59 33.63 cropland
-95.38 29.58 34.35 urban
-95.38 29.57 34.23 cropland
-95.38 29.56 36.13 cropland
-95.38 29.55 35.37 cropland
-95.38 29.54 34.71 cropland
-95.38 29.53 33.97 cropland
-95.38 29.52 32.67 cropland
-95.38 29.51 32.55 cropland
-95.38 29.5 31.95 cropland
-95.38 29.49 31.79 cropland
-95.38 29.48 31.89 cropland
-95.38 29.47 31.95 cropland
-95.39 29.75 37.11 urban
-95.39 29.74 36.93 urban
-95.39 29.73 36.27 urban
-95.39 29.72 35.51 urban
-95.39 29.71 36.33 urban
-95.39 29.7 37.37 urban
-95.39 29.69 38.25 urban
-95.39 29.68 37.35 urban
-95.39 29.67 34.35 cropland
-95.39 29.66 33.25 urban
-95.39 29.65 32.75 cropland
-95.39 29.64 33.01 savanna
-95.39 29.63 34.19 cropland
-95.39 29.62 33.17 cropland
-95.39 29.61 33.41 cropland
-95.39 29.6 33.27 urban
-95.39 29.59 33.01 cropland
-95.39 29.58 33.61 cropland
-95.39 29.57 35.13 urban
-95.39 29.56 35.29 cropland
-95.39 29.55 34.83 cropland
-95.39 29.54 34.17 cropland
-95.39 29.53 32.93 cropland
-95.39 29.52 32.71 cropland
-95.39 29.51 33.19 cropland
-95.39 29.5 31.75 cropland
-95.39 29.49 31.47 cropland
-95.39 29.48 31.97 cropland
-95.39 29.47 32.65 cropland
-95.4 29.75 36.85 urban
-95.4 29.74 37.39 urban
-95.4 29.73 NA urban
-95.4 29.72 NA urban
-95.4 29.71 NA urban
-95.4 29.7 NA urban
-95.4 29.69 NA urban
-95.4 29.68 37.73 urban
-95.4 29.67 33.29 urban
-95.4 29.66 32.43 cropland
-95.4 29.65 32.45 grassland
-95.4 29.64 33.21 grassland
-95.4 29.63 34.77 cropland
-95.4 29.62 33.55 forest
-95.4 29.61 33.31 cropland
-95.4 29.6 33.11 cropland
-95.4 29.59 32.81 cropland
-95.4 29.58 33.15 cropland
-95.4 29.57 35.15 cropland
-95.4 29.56 35.07 grassland
-95.4 29.55 34.61 cropland
-95.4 29.54 33.49 cropland
-95.4 29.53 32.07 cropland
-95.4 29.52 32.57 cropland
-95.4 29.51 33.01 cropland
-95.4 29.5 31.23 savanna
-95.4 29.49 31.45 urban
-95.4 29.48 32.11 urban
-95.4 29.47 32.67 cropland
-95.41 29.75 35.73 urban
-95.41 29.74 37.41 urban
-95.41 29.73 NA urban
-95.41 29.72 NA urban
-95.41 29.71 NA urban
-95.41 29.7 NA urban
-95.41 29.69 NA urban
-95.41 29.68 NA urban
-95.41 29.67 32.55 urban
-95.41 29.66 31.67 urban
-95.41 29.65 32.27 cropland
-95.41 29.64 33.75 urban
-95.41 29.63 35.33 cropland
-95.41 29.62 33.93 cropland
-95.41 29.61 33.97 urban
-95.41 29.6 33.25 cropland
-95.41 29.59 32.93 cropland
-95.41 29.58 32.57 cropland
-95.41 29.57 35.05 cropland
-95.41 29.56 34.97 cropland
-95.41 29.55 34.25 cropland
-95.41 29.54 32.21 grassland
-95.41 29.53 31.29 cropland
-95.41 29.52 32.59 savanna
-95.41 29.51 32.95 cropland
-95.41 29.5 31.65 savanna
-95.41 29.49 31.61 savanna
-95.41 29.48 32.63 urban
-95.41 29.47 32.59 cropland
-95.42 29.75 35.05 urban
-95.42 29.74 37.87 urban
-95.42 29.73 NA urban
-95.42 29.72 NA urban
-95.42 29.71 NA urban
-95.42 29.7 NA urban
-95.42 29.69 NA urban
-95.42 29.68 NA urban
-95.42 29.67 NA urban
-95.42 29.66 NA cropland
-95.42 29.65 32.77 urban
-95.42 29.64 34.53 urban
-95.42 29.63 35.47 urban
-95.42 29.62 35.15 cropland
-95.42 29.61 34.37 urban
-95.42 29.6 33.21 urban
-95.42 29.59 32.89 cropland
-95.42 29.58 32.73 cropland
-95.42 29.57 35.55 cropland
-95.42 29.56 34.93 cropland
-95.42 29.55 33.73 cropland
-95.42 29.54 32.17 cropland
-95.42 29.53 31.41 cropland
-95.42 29.52 32.85 cropland
-95.42 29.51 32.99 cropland
-95.42 29.5 32.43 savanna
-95.42 29.49 32.07 cropland
-95.42 29.48 32.53 cropland
-95.42 29.47 32.75 cropland
-95.43 29.75 35.19 urban
-95.43 29.74 37.89 urban
-95.43 29.73 37.49 urban
-95.43 29.72 NA urban
-95.43 29.71 NA urban
-95.43 29.7 NA urban
-95.43 29.69 NA urban
-95.43 29.68 NA urban
-95.43 29.67 NA forest
-95.43 29.66 NA cropland
-95.43 29.65 NA urban
-95.43 29.64 35.25 urban
-95.43 29.63 35.37 urban
-95.43 29.62 35.89 urban
-95.43 29.61 34.27 urban
-95.43 29.6 33.83 cropland
-95.43 29.59 33.79 cropland
-95.43 29.58 32.63 cropland
-95.43 29.57 34.37 grassland
-95.43 29.56 32.65 cropland
-95.43 29.55 32.23 cropland
-95.43 29.54 32.05 cropland
-95.43 29.53 31.65 cropland
-95.43 29.52 32.93 cropland
-95.43 29.51 33.25 cropland
-95.43 29.5 32.69 savanna
-95.43 29.49 32.21 cropland
-95.43 29.48 32.21 cropland
-95.43 29.47 31.99 cropland
-95.44 29.75 36.47 urban
-95.44 29.74 37.75 urban
-95.44 29.73 37.41 urban
-95.44 29.72 NA urban
-95.44 29.71 NA urban
-95.44 29.7 NA urban
-95.44 29.69 NA urban
-95.44 29.68 NA urban
-95.44 29.67 NA urban
-95.44 29.66 NA urban
-95.44 29.65 NA forest
-95.44 29.64 34.93 urban
-95.44 29.63 35.53 urban
-95.44 29.62 35.59 urban
-95.44 29.61 34.79 cropland
-95.44 29.6 35.03 cropland
-95.44 29.59 34.95 cropland
-95.44 29.58 32.71 grassland
-95.44 29.57 32.87 cropland
-95.44 29.56 31.77 grassland
-95.44 29.55 31.93 savanna
-95.44 29.54 32.15 cropland
-95.44 29.53 32.85 cropland
-95.44 29.52 32.49 cropland
-95.44 29.51 33.05 cropland
-95.44 29.5 32.57 cropland
-95.44 29.49 31.81 cropland
-95.44 29.48 31.59 savanna
-95.44 29.47 31.13 savanna
-95.45 29.75 37.11 urban
-95.45 29.74 37.69 urban
-95.45 29.73 37.43 urban
-95.45 29.72 37.05 urban
-95.45 29.71 NA urban
-95.45 29.7 NA urban
-95.45 29.69 NA urban
-95.45 29.68 NA urban
-95.45 29.67 NA urban
-95.45 29.66 NA urban
-95.45 29.65 NA cropland
-95.45 29.64 NA urban
-95.45 29.63 35.91 urban
-95.45 29.62 35.35 urban
-95.45 29.61 35.25 urban
-95.45 29.6 36.03 urban
-95.45 29.59 36.07 cropland
-95.45 29.58 33.27 savanna
-95.45 29.57 31.85 cropland
-95.45 29.56 31.33 savanna
-95.45 29.55 32.11 urban
-95.45 29.54 32.59 cropland
-95.45 29.53 33.73 cropland
-95.45 29.52 33.13 cropland
-95.45 29.51 32.65 cropland
-95.45 29.5 32.27 cropland
-95.45 29.49 32.39 savanna
-95.45 29.48 31.99 savanna
-95.45 29.47 31.25 savanna
-95.46 29.75 37.71 urban
